date,value,agency,anomaly
2020-01-25,419,CCC,0
2020-01-25,172,BBB,0
2020-01-26,240,AAA,1
2020-01-26,440,CCC,1
2020-01-26,188,BBB,1
2020-01-27,405,CCC,1
2020-01-27,158,BBB,1
2020-01-27,202,AAA,1
2020-01-28,182,BBB,1
2020-01-28,232,AAA,1
2020-01-28,431,CCC,1
2020-01-29,171,BBB,0
2020-01-29,229,AAA,0
2020-01-29,417,CCC,0
2020-01-30,173,BBB,0
2020-01-30,416,CCC,0
2020-01-30,227,AAA,0
2020-01-31,418,CCC,0
2020-01-31,177,BBB,0
2020-01-31,230,AAA,0
2020-02-01,432,CCC,1
2020-02-01,184,BBB,1
2020-02-01,238,AAA,1
2020-02-02,423,CCC,0
2020-02-02,177,BBB,0
2020-02-02,233,AAA,0
2020-02-03,190,BBB,1
2020-02-03,241,AAA,1
2020-02-03,432,CCC,1
2020-02-04,214,AAA,1
2020-02-04,411,CCC,1
2020-02-04,162,BBB,1
2020-02-05,260,AAA,1
2020-02-05,458,CCC,1
2020-02-05,213,BBB,1
2020-02-06,227,AAA,0
2020-02-06,424,CCC,0
2020-02-06,178,BBB,0
2020-02-07,245,AAA,1
2020-02-07,192,BBB,1
2020-02-07,441,CCC,1
2020-02-08,180,BBB,0
2020-02-08,229,AAA,0
2020-02-08,430,CCC,0
2020-02-09,157,BBB,1
2020-02-09,215,AAA,1
2020-02-09,408,CCC,1
2020-02-10,179,BBB,0
2020-02-10,241,AAA,0
2020-02-10,429,CCC,0
2020-02-11,246,AAA,1
2020-02-11,440,CCC,1
2020-02-11,198,BBB,1
2020-02-12,450,CCC,1
2020-02-12,201,BBB,1
2020-02-12,253,AAA,1
2020-02-13,413,CCC,1
2020-02-13,169,BBB,1
2020-02-13,213,AAA,1
2020-02-14,137,BBB,1
2020-02-14,187,AAA,1
2020-02-14,384,CCC,1
2020-02-15,227,AAA,1
2020-02-15,424,CCC,1
2020-02-15,177,BBB,1
2020-02-16,240,AAA,0
2020-02-16,431,CCC,0
2020-02-16,187,BBB,0
2020-02-17,214,AAA,1
2020-02-17,407,CCC,1
2020-02-17,157,BBB,1
2020-02-18,433,CCC,0
2020-02-18,183,BBB,0
2020-02-18,235,AAA,0
2020-02-19,190,BBB,0
2020-02-19,239,AAA,0
2020-02-19,437,CCC,0
2020-02-20,204,BBB,1
2020-02-20,251,AAA,1
2020-02-20,439,CCC,1
2020-02-21,190,BBB,0
2020-02-21,433,CCC,0
2020-02-21,243,AAA,0
2020-02-22,436,CCC,0
2020-02-22,189,BBB,0
2020-02-22,241,AAA,0
2020-02-23,435,CCC,0
2020-02-23,195,BBB,0
2020-02-23,248,AAA,0
2020-02-24,436,CCC,1
2020-02-24,191,BBB,1
2020-02-24,240,AAA,1
2020-02-25,178,BBB,1
2020-02-25,233,AAA,1
2020-02-25,420,CCC,1
2020-02-26,252,AAA,1
2020-02-26,449,CCC,1
2020-02-26,206,BBB,1
2020-02-27,239,AAA,0
2020-02-27,431,CCC,0
2020-02-27,196,BBB,0
2020-02-28,443,CCC,1
2020-02-28,195,BBB,1
2020-02-28,257,AAA,1
2020-02-29,190,BBB,0
2020-02-29,251,AAA,0
2020-02-29,436,CCC,0
2020-03-01,194,BBB,0
2020-03-01,247,AAA,0
2020-03-01,435,CCC,0
2020-03-02,183,BBB,1
2020-03-02,230,AAA,1
2020-03-02,423,CCC,1
2020-03-03,243,AAA,0
2020-03-03,431,CCC,0
2020-03-03,190,BBB,0
2020-03-04,434,CCC,0
2020-03-04,196,BBB,0
2020-03-04,249,AAA,0
2020-03-05,436,CCC,1
2020-03-05,187,BBB,1
2020-03-05,235,AAA,1
2020-03-06,439,CCC,0
2020-03-06,197,BBB,0
2020-03-06,250,AAA,0
2020-03-07,393,CCC,1
2020-03-07,203,AAA,1
2020-03-07,149,BBB,1
2020-03-08,230,AAA,1
2020-03-08,424,CCC,1
2020-03-08,171,BBB,1
2020-03-09,257,AAA,1
2020-03-09,454,CCC,1
2020-03-09,201,BBB,1
2020-03-10,230,AAA,1
2020-03-10,429,CCC,1
2020-03-10,177,BBB,1
2020-03-11,418,CCC,1
2020-03-11,178,BBB,1
2020-03-11,234,AAA,1
2020-03-12,178,BBB,1
2020-03-12,233,AAA,1
2020-03-12,426,CCC,1
2020-03-13,195,BBB,0
2020-03-13,250,AAA,0
2020-03-13,436,CCC,0
2020-03-14,254,AAA,0
2020-03-14,441,CCC,0
2020-03-14,197,BBB,0
2020-03-15,442,CCC,0
2020-03-15,196,BBB,0
2020-03-15,251,AAA,0
2020-03-16,445,CCC,0
2020-03-16,198,BBB,0
2020-03-16,253,AAA,0
2020-03-17,454,CCC,1
2020-03-17,213,BBB,1
2020-03-17,259,AAA,1
2020-03-18,212,BBB,1
2020-03-18,265,AAA,1
2020-03-18,455,CCC,1
2020-03-19,257,AAA,0
2020-03-19,438,CCC,0
2020-03-19,200,BBB,0
2020-03-20,255,AAA,0
2020-03-20,435,CCC,0
2020-03-20,201,BBB,0
2020-03-21,254,AAA,0
2020-03-21,198,BBB,0
2020-03-21,438,CCC,0
2020-03-22,193,BBB,0
2020-03-22,252,AAA,0
2020-03-22,445,CCC,0
2020-03-23,200,BBB,1
2020-03-23,250,AAA,1
2020-03-23,441,CCC,1
2020-03-24,197,BBB,0
2020-03-24,252,AAA,0
2020-03-24,446,CCC,0
2020-03-25,245,AAA,1
2020-03-25,429,CCC,1
2020-03-25,192,BBB,1
2020-03-26,443,CCC,0
2020-03-26,203,BBB,0
2020-03-26,248,AAA,0
2020-03-27,458,CCC,1
2020-03-27,216,BBB,1
2020-03-27,276,AAA,1
2020-03-28,428,CCC,1
2020-03-28,240,AAA,1
2020-03-28,183,BBB,1
2020-03-29,257,AAA,0
2020-03-29,440,CCC,0
2020-03-29,201,BBB,0
2020-03-30,256,AAA,0
2020-03-30,440,CCC,0
2020-03-30,197,BBB,0
2020-03-31,254,AAA,0
2020-03-31,444,CCC,0
2020-03-31,200,BBB,0
2020-04-01,434,CCC,0
2020-04-01,195,BBB,0
2020-04-01,255,AAA,0
2020-04-02,188,BBB,1
2020-04-02,238,AAA,1
2020-04-02,425,CCC,1
2020-04-03,205,BBB,0
2020-04-03,260,AAA,0
2020-04-03,435,CCC,0
2020-04-04,200,BBB,0
2020-04-04,254,AAA,0
2020-04-04,440,CCC,0
2020-04-05,161,BBB,1
2020-04-05,403,CCC,1
2020-04-05,217,AAA,1
2020-04-06,442,CCC,0
2020-04-06,200,BBB,0
2020-04-06,253,AAA,0
2020-04-07,451,CCC,1
2020-04-07,205,BBB,1
2020-04-07,262,AAA,1
2020-04-08,439,CCC,0
2020-04-08,198,BBB,0
2020-04-08,256,AAA,0
2020-04-09,198,BBB,0
2020-04-09,252,AAA,0
2020-04-09,436,CCC,0
2020-04-10,254,AAA,0
2020-04-10,439,CCC,0
2020-04-10,197,BBB,0
2020-04-11,276,AAA,1
2020-04-11,461,CCC,1
2020-04-11,217,BBB,1
2020-04-12,436,CCC,0
2020-04-12,200,BBB,0
2020-04-12,257,AAA,0
2020-04-13,209,BBB,1
2020-04-13,261,AAA,1
2020-04-13,444,CCC,1
2020-04-14,201,BBB,0
2020-04-14,257,AAA,0
2020-04-14,432,CCC,0
2020-04-15,199,BBB,0
2020-04-15,249,AAA,0
2020-04-15,433,CCC,0
2020-04-16,232,AAA,1
2020-04-16,420,CCC,1
2020-04-16,179,BBB,1
2020-04-17,433,CCC,0
2020-04-17,197,BBB,0
2020-04-17,252,AAA,0
2020-04-18,436,CCC,0
2020-04-18,197,BBB,0
2020-04-18,254,AAA,0
2020-04-19,449,CCC,1
2020-04-19,263,AAA,1
2020-04-19,207,BBB,1
2020-04-20,254,AAA,0
2020-04-20,430,CCC,0
2020-04-20,198,BBB,0
2020-04-21,251,AAA,0
2020-04-21,438,CCC,0
2020-04-21,190,BBB,0
2020-04-22,257,AAA,1
2020-04-22,450,CCC,1
2020-04-22,207,BBB,1
2020-04-23,440,CCC,0
2020-04-23,197,BBB,0
2020-04-23,251,AAA,0
2020-04-24,198,BBB,0
2020-04-24,247,AAA,0
2020-04-24,439,CCC,0
2020-04-25,209,BBB,1
2020-04-25,261,AAA,1
2020-04-25,451,CCC,1
2020-04-26,195,BBB,0
2020-04-26,434,CCC,0
2020-04-26,247,AAA,0
2020-04-27,417,CCC,1
2020-04-27,179,BBB,1
2020-04-27,234,AAA,1
2020-04-28,430,CCC,1
2020-04-28,194,BBB,1
2020-04-28,252,AAA,1
2020-04-29,434,CCC,0
2020-04-29,195,BBB,0
2020-04-29,245,AAA,0
2020-04-30,183,BBB,1
2020-04-30,237,AAA,1
2020-04-30,426,CCC,1
2020-05-01,277,AAA,1
2020-05-01,455,CCC,1
2020-05-01,225,BBB,1
2020-05-02,216,AAA,1
2020-05-02,390,CCC,1
2020-05-02,157,BBB,1
2020-05-03,249,AAA,0
2020-05-03,435,CCC,0
2020-05-03,191,BBB,0
2020-05-04,247,AAA,0
2020-05-04,188,BBB,0
2020-05-04,430,CCC,0
2020-05-05,184,BBB,0
2020-05-05,244,AAA,0
2020-05-05,433,CCC,0
2020-05-06,216,BBB,1
2020-05-06,268,AAA,1
2020-05-06,446,CCC,1
2020-05-07,191,BBB,0
2020-05-07,251,AAA,0
2020-05-07,425,CCC,0
2020-05-08,241,AAA,0
2020-05-08,427,CCC,0
2020-05-08,187,BBB,0
2020-05-09,429,CCC,0
2020-05-09,186,BBB,0
2020-05-09,247,AAA,0
2020-05-10,430,CCC,0
2020-05-10,188,BBB,0
2020-05-10,253,AAA,0
2020-05-11,191,BBB,0
2020-05-11,243,AAA,0
2020-05-11,426,CCC,0
2020-05-12,225,AAA,1
2020-05-12,407,CCC,1
2020-05-12,171,BBB,1
2020-05-13,244,AAA,0
2020-05-13,423,CCC,0
2020-05-13,189,BBB,0
2020-05-14,242,AAA,0
2020-05-14,428,CCC,0
2020-05-14,184,BBB,0
2020-05-15,409,CCC,1
2020-05-15,167,BBB,1
2020-05-15,228,AAA,1
2020-05-16,221,BBB,1
2020-05-16,283,AAA,1
2020-05-16,454,CCC,1
2020-05-17,165,BBB,1
2020-05-17,217,AAA,1
2020-05-17,402,CCC,1
2020-05-18,201,BBB,1
2020-05-18,432,CCC,1
2020-05-18,253,AAA,1
2020-05-19,422,CCC,0
2020-05-19,188,BBB,0
2020-05-19,244,AAA,0
2020-05-20,403,CCC,1
2020-05-20,169,BBB,1
2020-05-20,227,AAA,1
2020-05-21,416,CCC,0
2020-05-21,181,BBB,0
2020-05-21,241,AAA,0
2020-05-22,177,BBB,0
2020-05-22,241,AAA,0
2020-05-22,411,CCC,0
2020-05-23,224,AAA,1
2020-05-23,406,CCC,1
2020-05-23,167,BBB,1
2020-05-24,252,AAA,1
2020-05-24,429,CCC,1
2020-05-24,191,BBB,1
2020-05-25,236,AAA,0
2020-05-25,181,BBB,0
2020-05-25,416,CCC,0
2020-05-26,180,BBB,0
2020-05-26,236,AAA,0
2020-05-26,417,CCC,0
2020-05-27,183,BBB,0
2020-05-27,235,AAA,0
2020-05-27,411,CCC,0
2020-05-28,178,BBB,0
2020-05-28,234,AAA,0
2020-05-28,410,CCC,0
2020-05-29,236,AAA,0
2020-05-29,414,CCC,0
2020-05-29,178,BBB,0
2020-05-30,415,CCC,0
2020-05-30,174,BBB,0
2020-05-30,234,AAA,0
2020-05-31,412,CCC,0
2020-05-31,171,BBB,0
2020-05-31,227,AAA,0
2020-06-01,424,CCC,1
2020-06-01,188,BBB,1
2020-06-01,242,AAA,1
2020-06-02,395,CCC,1
2020-06-02,217,AAA,1
2020-06-02,162,BBB,1
2020-06-03,235,AAA,0
2020-06-03,409,CCC,0
2020-06-03,172,BBB,0
2020-06-04,246,AAA,1
2020-06-04,426,CCC,1
2020-06-04,183,BBB,1
2020-06-05,218,AAA,1
2020-06-05,393,CCC,1
2020-06-05,164,BBB,1
2020-06-06,381,CCC,1
2020-06-06,154,BBB,1
2020-06-06,208,AAA,1
2020-06-07,180,BBB,1
2020-06-07,242,AAA,1
2020-06-07,414,CCC,1
2020-06-08,188,BBB,1
2020-06-08,240,AAA,1
2020-06-08,421,CCC,1
2020-06-09,234,AAA,1
2020-06-09,410,CCC,1
2020-06-09,178,BBB,1
2020-06-10,397,CCC,0
2020-06-10,168,BBB,0
2020-06-10,223,AAA,0
2020-06-11,398,CCC,0
2020-06-11,162,BBB,0
2020-06-11,225,AAA,0
2020-06-12,404,CCC,0
2020-06-12,170,BBB,0
2020-06-12,220,AAA,0
2020-06-13,178,BBB,1
2020-06-13,246,AAA,1
2020-06-13,418,CCC,1
2020-06-14,205,AAA,1
2020-06-14,378,CCC,1
2020-06-14,151,BBB,1
2020-06-15,234,AAA,1
2020-06-15,404,CCC,1
2020-06-15,179,BBB,1
2020-06-16,209,AAA,1
2020-06-16,137,BBB,1
2020-06-16,379,CCC,1
2020-06-17,151,BBB,1
2020-06-17,203,AAA,1
2020-06-17,380,CCC,1
2020-06-18,160,BBB,0
2020-06-18,222,AAA,0
2020-06-18,395,CCC,0
2020-06-19,161,BBB,0
2020-06-19,220,AAA,0
2020-06-19,401,CCC,0
2020-06-20,223,AAA,0
2020-06-20,394,CCC,0
2020-06-20,155,BBB,0
2020-06-21,389,CCC,0
2020-06-21,158,BBB,0
2020-06-21,219,AAA,0
2020-06-22,369,CCC,1
2020-06-22,137,BBB,1
2020-06-22,198,AAA,1
2020-06-23,154,BBB,0
2020-06-23,217,AAA,0
2020-06-23,388,CCC,0
2020-06-24,213,AAA,0
2020-06-24,387,CCC,0
2020-06-24,160,BBB,0
2020-06-25,246,AAA,1
2020-06-25,424,CCC,1
2020-06-25,192,BBB,1
2020-06-26,213,AAA,0
2020-06-26,385,CCC,0
2020-06-26,157,BBB,0
2020-06-27,383,CCC,0
2020-06-27,152,BBB,0
2020-06-27,212,AAA,0
2020-06-28,150,BBB,0
2020-06-28,209,AAA,0
2020-06-28,386,CCC,0
2020-06-29,147,BBB,0
2020-06-29,204,AAA,0
2020-06-29,382,CCC,0
2020-06-30,153,BBB,0
2020-06-30,211,AAA,0
2020-06-30,384,CCC,0
2020-07-01,188,BBB,1
2020-07-01,411,CCC,1
2020-07-01,242,AAA,1
2020-07-02,394,CCC,1
2020-07-02,168,BBB,1
2020-07-02,224,AAA,1
2020-07-03,393,CCC,1
2020-07-03,163,BBB,1
2020-07-03,228,AAA,1
2020-07-04,362,CCC,1
2020-07-04,131,BBB,1
2020-07-04,184,AAA,1
2020-07-05,134,BBB,1
2020-07-05,197,AAA,1
2020-07-05,364,CCC,1
2020-07-06,212,AAA,0
2020-07-06,373,CCC,0
2020-07-06,148,BBB,0
2020-07-07,209,AAA,0
2020-07-07,372,CCC,0
2020-07-07,150,BBB,0
2020-07-08,374,CCC,0
2020-07-08,142,BBB,0
2020-07-08,202,AAA,0
2020-07-09,123,BBB,1
2020-07-09,186,AAA,1
2020-07-09,352,CCC,1
2020-07-10,121,BBB,1
2020-07-10,179,AAA,1
2020-07-10,352,CCC,1
2020-07-11,116,BBB,1
2020-07-11,174,AAA,1
2020-07-11,348,CCC,1
2020-07-12,202,AAA,1
2020-07-12,365,CCC,1
2020-07-12,140,BBB,1
2020-07-13,393,CCC,1
2020-07-13,159,BBB,1
2020-07-13,221,AAA,1
2020-07-14,373,CCC,0
2020-07-14,136,BBB,0
2020-07-14,201,AAA,0
2020-07-15,372,CCC,0
2020-07-15,194,AAA,0
2020-07-15,135,BBB,0
2020-07-16,203,AAA,1
2020-07-16,379,CCC,1
2020-07-16,144,BBB,1
2020-07-17,199,AAA,0
2020-07-17,368,CCC,0
2020-07-17,136,BBB,0
2020-07-18,213,AAA,1
2020-07-18,382,CCC,1
2020-07-18,155,BBB,1
2020-07-19,366,CCC,0
2020-07-19,136,BBB,0
2020-07-19,194,AAA,0
2020-07-20,136,BBB,0
2020-07-20,199,AAA,0
2020-07-20,362,CCC,0
2020-07-21,148,BBB,1
2020-07-21,213,AAA,1
2020-07-21,381,CCC,1
2020-07-22,123,BBB,1
2020-07-22,356,CCC,1
2020-07-22,184,AAA,1
2020-07-23,363,CCC,0
2020-07-23,132,BBB,0
2020-07-23,186,AAA,0
2020-07-24,355,CCC,0
2020-07-24,134,BBB,0
2020-07-24,193,AAA,0
2020-07-25,375,CCC,1
2020-07-25,147,BBB,1
2020-07-25,204,AAA,1
2020-07-26,127,BBB,0
2020-07-26,189,AAA,0
2020-07-26,362,CCC,0
2020-07-27,174,AAA,1
2020-07-27,342,CCC,1
2020-07-27,121,BBB,1
2020-07-28,203,AAA,1
2020-07-28,367,CCC,1
2020-07-28,132,BBB,1
2020-07-29,200,AAA,1
2020-07-29,360,CCC,1
2020-07-29,137,BBB,1
2020-07-30,186,AAA,0
2020-07-30,126,BBB,0
2020-07-30,355,CCC,0
2020-07-31,125,BBB,0
2020-07-31,185,AAA,0
2020-07-31,350,CCC,0
2020-08-01,126,BBB,0
2020-08-01,186,AAA,0
2020-08-01,351,CCC,0
2020-08-02,105,BBB,1
2020-08-02,170,AAA,1
2020-08-02,334,CCC,1
2020-08-03,165,AAA,1
2020-08-03,331,CCC,1
2020-08-03,99,BBB,1
2020-08-04,350,CCC,0
2020-08-04,122,BBB,0
2020-08-04,181,AAA,0
2020-08-05,351,CCC,0
2020-08-05,122,BBB,0
2020-08-05,179,AAA,0
2020-08-06,141,BBB,1
2020-08-06,198,AAA,1
2020-08-06,366,CCC,1
2020-08-07,177,AAA,0
2020-08-07,349,CCC,0
2020-08-07,124,BBB,0
2020-08-08,167,AAA,1
2020-08-08,328,CCC,1
2020-08-08,103,BBB,1
2020-08-09,181,AAA,0
2020-08-09,346,CCC,0
2020-08-09,124,BBB,0
2020-08-10,325,CCC,1
2020-08-10,103,BBB,1
2020-08-10,169,AAA,1
2020-08-11,101,BBB,1
2020-08-11,163,AAA,1
2020-08-11,329,CCC,1
2020-08-12,116,BBB,0
2020-08-12,181,AAA,0
2020-08-12,350,CCC,0
2020-08-13,110,BBB,0
2020-08-13,346,CCC,0
2020-08-13,182,AAA,0
2020-08-14,349,CCC,1
2020-08-14,124,BBB,1
2020-08-14,187,AAA,1
2020-08-15,341,CCC,0
2020-08-15,119,BBB,0
2020-08-15,183,AAA,0
2020-08-16,366,CCC,1
2020-08-16,141,BBB,1
2020-08-16,205,AAA,1
2020-08-17,114,BBB,0
2020-08-17,174,AAA,0
2020-08-17,342,CCC,0
2020-08-18,183,AAA,0
2020-08-18,343,CCC,0
2020-08-18,114,BBB,0
2020-08-19,191,AAA,1
2020-08-19,361,CCC,1
2020-08-19,133,BBB,1
2020-08-20,336,CCC,0
2020-08-20,109,BBB,0
2020-08-20,178,AAA,0
2020-08-21,97,BBB,1
2020-08-21,158,AAA,1
2020-08-21,322,CCC,1
2020-08-22,131,BBB,1
2020-08-22,193,AAA,1
2020-08-22,352,CCC,1
2020-08-23,97,BBB,1
2020-08-23,165,AAA,1
2020-08-23,327,CCC,1
2020-08-24,172,AAA,0
2020-08-24,338,CCC,0
2020-08-24,111,BBB,0
2020-08-25,336,CCC,0
2020-08-25,109,BBB,0
2020-08-25,171,AAA,0
2020-08-26,337,CCC,0
2020-08-26,106,BBB,0
2020-08-26,170,AAA,0
2020-08-27,332,CCC,0
2020-08-27,105,BBB,0
2020-08-27,167,AAA,0
2020-08-28,330,CCC,0
2020-08-28,173,AAA,0
2020-08-28,106,BBB,0
2020-08-29,167,AAA,0
2020-08-29,330,CCC,0
2020-08-29,106,BBB,0
2020-08-30,182,AAA,1
2020-08-30,346,CCC,1
2020-08-30,122,BBB,1
2020-08-31,132,AAA,1
2020-08-31,299,CCC,1
2020-08-31,69,BBB,1
2020-09-01,329,CCC,0
2020-09-01,105,BBB,0
2020-09-01,170,AAA,0
2020-09-02,129,BBB,1
2020-09-02,188,AAA,1
2020-09-02,349,CCC,1
2020-09-03,109,BBB,0
2020-09-03,167,AAA,0
2020-09-03,331,CCC,0
2020-09-04,168,AAA,0
2020-09-04,340,CCC,0
2020-09-04,102,BBB,0
2020-09-05,328,CCC,0
2020-09-05,101,BBB,0
2020-09-05,168,AAA,0
2020-09-06,321,CCC,1
2020-09-06,95,BBB,1
2020-09-06,152,AAA,1
2020-09-07,328,CCC,0
2020-09-07,103,BBB,0
2020-09-07,166,AAA,0
2020-09-08,104,BBB,1
2020-09-08,172,AAA,1
2020-09-08,329,CCC,1
2020-09-09,173,AAA,0
2020-09-09,324,CCC,0
2020-09-09,106,BBB,0
2020-09-10,160,AAA,0
2020-09-10,326,CCC,0
2020-09-10,102,BBB,0
2020-09-11,168,AAA,0
2020-09-11,108,BBB,0
2020-09-11,330,CCC,0
2020-09-12,115,BBB,1
2020-09-12,178,AAA,1
2020-09-12,337,CCC,1
2020-09-13,102,BBB,0
2020-09-13,163,AAA,0
2020-09-13,327,CCC,0
2020-09-14,93,BBB,1
2020-09-14,148,AAA,1
2020-09-14,308,CCC,1
2020-09-15,141,AAA,1
2020-09-15,304,CCC,1
2020-09-15,82,BBB,1
2020-09-16,308,CCC,1
2020-09-16,86,BBB,1
2020-09-16,147,AAA,1
2020-09-17,313,CCC,1
2020-09-17,79,BBB,1
2020-09-17,146,AAA,1
2020-09-18,299,CCC,1
2020-09-18,142,AAA,1
2020-09-18,72,BBB,1
2020-09-19,165,AAA,0
2020-09-19,323,CCC,0
2020-09-19,101,BBB,0
2020-09-20,164,AAA,0
2020-09-20,328,CCC,0
2020-09-20,103,BBB,0
2020-09-21,159,AAA,1
2020-09-21,321,CCC,1
2020-09-21,93,BBB,1
2020-09-22,325,CCC,0
2020-09-22,100,BBB,0
2020-09-22,161,AAA,0
2020-09-23,123,BBB,1
2020-09-23,182,AAA,1
2020-09-23,347,CCC,1
2020-09-24,101,BBB,0
2020-09-24,160,AAA,0
2020-09-24,328,CCC,0
2020-09-25,76,BBB,1
2020-09-25,139,AAA,1
2020-09-25,292,CCC,1
2020-09-26,95,BBB,0
2020-09-26,323,CCC,0
2020-09-26,161,AAA,0
2020-09-27,316,CCC,1
2020-09-27,89,BBB,1
2020-09-27,151,AAA,1
2020-09-28,319,CCC,0
2020-09-28,100,BBB,0
2020-09-28,170,AAA,0
2020-09-29,322,CCC,0
2020-09-29,101,BBB,0
2020-09-29,167,AAA,0
2020-09-30,97,BBB,0
2020-09-30,160,AAA,0
2020-09-30,321,CCC,0
2020-10-01,161,AAA,0
2020-10-01,324,CCC,0
2020-10-01,101,BBB,0
2020-10-02,178,AAA,1
2020-10-02,339,CCC,1
2020-10-02,116,BBB,1
2020-10-03,325,CCC,0
2020-10-03,99,BBB,0
2020-10-03,163,AAA,0
2020-10-04,101,BBB,0
2020-10-04,162,AAA,0
2020-10-04,322,CCC,0
2020-10-05,101,BBB,0
2020-10-05,168,AAA,0
2020-10-05,319,CCC,0
2020-10-06,114,BBB,1
2020-10-06,180,AAA,1
2020-10-06,337,CCC,1
2020-10-07,144,AAA,1
2020-10-07,299,CCC,1
2020-10-07,79,BBB,1
2020-10-08,320,CCC,0
2020-10-08,96,BBB,0
2020-10-08,162,AAA,0
2020-10-09,324,CCC,0
2020-10-09,96,BBB,0
2020-10-09,161,AAA,0
2020-10-10,318,CCC,0
2020-10-10,162,AAA,0
2020-10-10,101,BBB,0
2020-10-11,162,AAA,0
2020-10-11,320,CCC,0
2020-10-11,95,BBB,0
2020-10-12,143,AAA,1
2020-10-12,307,CCC,1
2020-10-12,82,BBB,1
2020-10-13,168,AAA,0
2020-10-13,324,CCC,0
2020-10-13,102,BBB,0
2020-10-14,332,CCC,1
2020-10-14,113,BBB,1
2020-10-14,180,AAA,1
2020-10-15,108,BBB,0
2020-10-15,164,AAA,0
2020-10-15,319,CCC,0
2020-10-16,102,BBB,0
2020-10-16,170,AAA,0
2020-10-16,327,CCC,0
2020-10-17,168,AAA,0
2020-10-17,324,CCC,0
2020-10-17,101,BBB,0
2020-10-18,320,CCC,0
2020-10-18,104,BBB,0
2020-10-18,163,AAA,0
2020-10-19,343,CCC,1
2020-10-19,118,BBB,1
2020-10-19,182,AAA,1
2020-10-20,316,CCC,1
2020-10-20,95,BBB,1
2020-10-20,158,AAA,1
2020-10-21,101,BBB,0
2020-10-21,169,AAA,0
2020-10-21,320,CCC,0
2020-10-22,182,AAA,1
2020-10-22,339,CCC,1
2020-10-22,124,BBB,1
2020-10-23,166,AAA,0
2020-10-23,324,CCC,0
2020-10-23,104,BBB,0
2020-10-24,171,AAA,0
2020-10-24,320,CCC,0
2020-10-24,105,BBB,0
2020-10-25,173,AAA,0
2020-10-25,102,BBB,0
2020-10-25,322,CCC,0
2020-10-26,78,BBB,1
2020-10-26,146,AAA,1
2020-10-26,300,CCC,1
2020-10-27,83,BBB,1
2020-10-27,152,AAA,1
2020-10-27,299,CCC,1
2020-10-28,82,BBB,1
2020-10-28,151,AAA,1
2020-10-28,307,CCC,1
2020-10-29,175,AAA,0
2020-10-29,327,CCC,0
2020-10-29,104,BBB,0
2020-10-30,331,CCC,0
2020-10-30,104,BBB,0
2020-10-30,173,AAA,0
2020-10-31,328,CCC,0
2020-10-31,109,BBB,0
2020-10-31,169,AAA,0
2020-11-01,103,BBB,0
2020-11-01,174,AAA,0
2020-11-01,323,CCC,0
2020-11-02,170,AAA,0
2020-11-02,325,CCC,0
2020-11-02,114,BBB,0
2020-11-03,170,AAA,0
2020-11-03,332,CCC,0
2020-11-03,104,BBB,0
2020-11-04,162,AAA,1
2020-11-04,319,CCC,1
2020-11-04,95,BBB,1
2020-11-05,331,CCC,0
2020-11-05,104,BBB,0
2020-11-05,171,AAA,0
2020-11-06,109,BBB,0
