date,from_city,to_city,distance_km,load_kg,delivery_time_hr
2023-01-29,"Rockford, IL","Denver, CO",2402.31,318,21.71
2024-01-09,"Austin, TX","Toledo, OH",3683.1,221,32.34
2023-12-12,"Bakersfield, CA","Plano, TX",4156.64,786,56.49
2020-01-24,"Bakersfield, CA","Hialeah, FL",1849.83,567,17.6
2023-10-13,"Nashua, NH","Salem, OR",3911.52,259,43.18
2023-02-21,"Salem, OR","Aguadilla, PR",3647.49,961,39.28
2020-09-26,"Des Moines, IA","San Antonio, TX",1960.38,422,30.58
2020-04-24,"Salem, OR","Providence, RI",2231.88,64,28.59
2023-10-24,"Plano, TX","Albany, NY",1589.59,615,24.1
2020-12-28,"Philadelphia, PA","Scranton, PA",1389.68,872,15.85
2022-08-18,"San Jose, CA","Davenport, IA",1018.94,633,13.2
2020-12-28,"Denver, CO","Boston, MA",1920.82,465,21.45
2020-11-12,"Kennewick, WA","Lancaster, PA",1825.03,891,23.3
2023-07-01,"Port St. Lucie, FL","Reading, PA",2911.67,413,25.94
2022-02-21,"Salem, OR","Akron, OH",4185.84,556,39.69
2023-04-07,"Chicago, IL","St. Louis, MO",329.61,842,4.33
2021-01-31,"Knoxville, TN","Augusta, GA",3717.16,588,44.77
2022-07-08,"Oakland, CA","Peoria, IL",3448.15,617,40.36
2023-07-14,"Santa Rosa, CA","Flint, MI",1991.11,515,19.15
2021-11-26,"Tucson, AZ","Concord, CA",1225.55,448,10.65
2023-12-04,"Memphis, TN","San Diego, CA",3321.41,221,54.9
2021-04-03,"Chattanooga, TN","Garland, TX",3029.63,553,25.85
2021-01-30,"Indio, CA","Las Vegas, NV",4340.33,904,38.8
2021-08-19,"Riverside, CA","Durham, NC",2183.67,345,18.66
2023-08-26,"Springfield, MO","Arlington, VA",3186.2,271,40.23
2020-05-29,"Mesa, AZ","Atlanta, GA",4307.47,268,39.89
2020-12-31,"Mobile, AL","San Juan, PR",3172.33,412,29.25
2021-10-05,"York, PA","Fort Wayne, IN",4921.8,785,75.17
2021-07-05,"Toledo, OH","Lakeland, FL",376.81,209,4.68
2021-04-28,"Austin, TX","Scottsdale, AZ",2199.98,658,33.54
2022-11-12,"Winter Haven, FL","Bonita Springs, FL",1755.9,655,26.6
2023-07-14,"Akron, OH","Fort Collins, CO",2213.6,659,28.58
2020-02-09,"Norfolk, VA","Louisville, KY",2295.92,347,27.38
2021-02-11,"Springfield, MA","Tampa, FL",2459.94,924,21.34
2023-07-08,"Brooklyn, NY","Cape Coral, FL",463.21,769,3.88
2023-04-10,"Brooklyn, NY","Cleveland, OH",3865.91,785,38.9
2022-12-05,"Des Moines, IA","Riverside, CA",839.97,268,7.1
2020-11-12,"Fort Wayne, IN","Ogden, UT",2178.41,973,21.84
2020-08-10,"Henderson, NV","New York, NY",2902.98,374,35.14
2020-10-05,"Kansas City, MO","Phoenix, AZ",2046.71,362,26.82
2022-04-06,"Arlington, TX","Fort Wayne, IN",3323.92,747,32.13
2020-12-03,"McAllen, TX","Antioch, CA",3064.3,356,30.66
2022-10-06,"Victorville, CA","Ann Arbor, MI",2539.52,533,34.21
2021-02-06,"Chicago, IL","Rochester, NY",814.12,473,9.18
2020-02-06,"Indianapolis, IN","Anaheim, CA",3054.99,845,38.24
2023-07-25,"Savannah, GA","Nashua, NH",334.86,215,3.46
2021-01-18,"Orlando, FL","Tampa, FL",395.67,891,5.57
2021-12-03,"Antioch, CA","Louisville, KY",1772.9,169,15.83
2020-07-04,"Bakersfield, CA","Trenton, NJ",3348.31,104,31.01
2023-07-14,"Sacramento, CA","Columbus, GA",2889.92,636,28.68
2020-05-14,"Corpus Christi, TX","Fresno, CA",2159.87,859,26.43
2020-01-29,"Fort Worth, TX","York, PA",1083.54,217,15.1
2023-06-01,"Bonita Springs, FL","Charlotte, NC",2722.73,818,24.98
2022-07-10,"Fremont, CA","Akron, OH",171.51,507,1.53
2021-05-15,"Greensboro, NC","Fort Collins, CO",3005.07,885,26.42
2023-05-13,"Tallahassee, FL","Gulfport, MS",3218.26,405,31.44
2020-04-04,"Fremont, CA","Corpus Christi, TX",4820.57,75,77.61
2023-12-24,"Deltona, FL","Reno, NV",4491.18,530,49.67
2022-12-12,"Green Bay, WI","Youngstown, OH",4938.31,943,48.41
2021-02-03,"Queens, NY","Lexington, KY",4835.3,405,72.51
2023-04-06,"Flint, MI","Gulfport, MS",4749.42,875,40.13
2023-11-17,"Arlington, VA","Long Beach, CA",3534.13,824,32.71
2023-05-06,"Orlando, FL","Tampa, FL",1462.12,82,14.59
2020-10-04,"Hialeah, FL","Scottsdale, AZ",3341.28,861,33.14
2023-08-15,"Palm Bay, FL","York, PA",4242.64,753,43.45
2020-05-06,"Allentown, PA","Miami, FL",2539.82,696,36.35
2022-05-17,"Fargo, ND","Springfield, MA",788.68,187,11.21
2021-09-07,"Fayetteville, AR","Ogden, UT",3306.0,340,36.94
2020-10-07,"Anaheim, CA","Anchorage, AK",3050.99,909,40.1
2020-12-02,"Miami, FL","Fresno, CA",1036.13,208,9.1
2021-10-07,"Chesapeake, VA","Pittsburgh, PA",1717.16,330,17.15
2023-10-18,"Manhattan, NY","Salt Lake City, UT",2736.79,423,24.14
2022-04-07,"Washington, DC","Killeen, TX",3212.39,972,27.1
2023-05-27,"Tulsa, OK","Rock Hill, SC",2501.74,433,23.4
2021-10-06,"Reading, PA","Springfield, MA",1692.08,746,17.97
2023-02-02,"Des Moines, IA","San Juan, PR",1943.99,250,20.36
2020-01-04,"Winter Haven, FL","Cincinnati, OH",3472.49,826,49.37
2021-02-12,"Orlando, FL","Columbus, GA",4117.48,637,37.58
2020-11-23,"Trenton, NJ","Nashua, NH",3417.87,445,34.68
2022-06-07,"Los Angeles, CA","Louisville, KY",1484.6,853,22.25
2020-04-13,"Scottsdale, AZ","Lincoln, NE",1521.72,307,19.18
2020-06-04,"Richmond, VA","St. Petersburg, FL",2559.51,305,23.09
2021-04-19,"Round Lake Beach, IL","Lafayette, LA",4861.42,637,69.39
2023-04-04,"Green Bay, WI","Los Angeles, CA",3596.59,921,48.12
2023-09-30,"Madison, WI","Allentown, PA",4098.34,743,64.61
2023-10-15,"Fort Collins, CO","Orlando, FL",808.67,718,7.74
2020-01-31,"Cape Coral, FL","Charlotte, NC",1203.3,760,10.92
2020-04-24,"Canton, OH","Cincinnati, OH",4345.72,133,38.35
2022-05-22,"Rochester, NY","Madison, WI",2194.85,272,25.71
2021-03-27,"Rockford, IL","Aguadilla, PR",462.8,681,4.25
2022-02-23,"Rockford, IL","Canton, OH",155.41,631,1.4
2023-01-11,"Gulfport, MS","Tulsa, OK",1636.34,291,14.64
2022-08-22,"Kennewick, WA","Peoria, IL",553.86,148,5.81
2023-10-20,"Davenport, IA","Tucson, AZ",4923.04,182,44.32
2020-12-18,"Fort Wayne, IN","Miami, FL",1399.5,486,12.99
2021-11-18,"Phoenix, AZ","Kennewick, WA",2064.15,304,17.78
2022-10-10,"Modesto, CA","Eugene, OR",4339.06,713,52.82
2020-01-18,"Lansing, MI","Chattanooga, TN",2969.53,490,26.86
2020-05-24,"Richmond, VA","Fort Wayne, IN",4753.24,841,50.09
2022-08-08,"Denton, TX","Rochester, NY",1886.01,824,17.89
2020-02-22,"Modesto, CA","Kansas City, MO",3293.29,455,49.03
2023-08-22,"Lansing, MI","Salt Lake City, UT",1467.94,168,12.4
2021-05-29,"Myrtle Beach, SC","Concord, NC",4551.09,799,62.29
2020-02-07,"Corpus Christi, TX","Oakland, CA",4085.72,263,34.21
2024-02-07,"Lafayette, LA","Round Lake Beach, IL",2004.59,91,33.09
2023-06-09,"Hartford, CT","Louisville, KY",3317.83,731,45.54
2023-07-07,"Miami, FL","York, PA",1262.55,830,13.44
2021-04-08,"Reading, PA","Norfolk, VA",4525.88,409,41.45
2020-04-12,"Arlington, VA","Lakeland, FL",2875.9,423,24.08
2022-04-23,"Tallahassee, FL","Asheville, NC",2739.19,204,24.11
2021-09-30,"Spokane, WA","Anaheim, CA",4115.59,516,40.77
2021-01-01,"Madison, WI","Jacksonville, FL",1979.95,470,16.94
2022-07-17,"Springfield, MO","Lincoln, NE",3518.0,535,31.3
2021-11-11,"Fort Collins, CO","Madison, WI",4268.82,387,45.25
2022-03-05,"Concord, NC","Davenport, IA",3898.17,665,55.43
2021-03-16,"Victorville, CA","Corpus Christi, TX",4398.63,401,71.46
2022-02-22,"Fort Worth, TX","Savannah, GA",1212.14,235,19.52
2020-03-11,"Albany, NY","Eugene, OR",4739.93,805,73.22
2020-03-05,"Chicago, IL","Spokane, WA",530.02,799,6.53
2021-03-22,"Birmingham, AL","Jacksonville, FL",2557.89,365,39.86
2022-05-25,"Tallahassee, FL","Arlington, TX",910.02,424,11.95
2021-04-11,"Canton, OH","Rockford, IL",4226.08,219,46.77
2020-07-18,"New Orleans, LA","Stockton, CA",1072.77,531,16.96
2021-10-08,"Los Angeles, CA","Rockford, IL",446.66,360,3.75
2022-08-23,"Mobile, AL","Akron, OH",4274.02,437,45.26
2024-01-30,"El Paso, TX","Orlando, FL",985.31,90,13.91
2023-11-26,"Fort Worth, TX","Jacksonville, FL",3953.72,178,52.47
2023-03-11,"Victorville, CA","York, PA",2178.4,891,26.26
2020-05-06,"Laredo, TX","Mission Viejo, CA",1210.53,809,12.59
2023-03-03,"Brooklyn, NY","Oakland, CA",879.75,106,14.28
2020-12-13,"Youngstown, OH","Knoxville, TN",3249.27,761,33.18
2022-10-15,"Columbus, GA","Huntsville, AL",3270.71,216,36.49
2021-12-26,"Mesa, AZ","Palm Bay, FL",3344.11,267,35.46
2023-04-11,"St. Petersburg, FL","Salem, OR",3413.45,333,32.56
2022-10-03,"Tucson, AZ","San Juan, PR",1323.92,956,12.36
2023-01-19,"Syracuse, NY","Fort Worth, TX",3645.14,508,55.41
2020-03-23,"Tucson, AZ","Asheville, NC",4575.83,115,47.58
2021-10-23,"Toledo, OH","Miami, FL",274.6,681,3.57
2022-06-10,"Glendale, AZ","Spokane, WA",4913.45,139,56.72
2020-12-30,"Fresno, CA","Fort Collins, CO",2842.76,163,46.07
2021-03-27,"Savannah, GA","South Bend, IN",2597.19,792,40.86
2020-08-12,"Indianapolis, IN","Akron, OH",2203.55,664,32.94
2021-03-23,"Savannah, GA","Omaha, NE",4055.0,824,37.35
2021-07-17,"Canton, OH","Fort Wayne, IN",488.14,94,4.63
2023-02-02,"Deltona, FL","Irving, TX",1949.86,533,16.51
2023-11-27,"San Antonio, TX","Philadelphia, PA",903.07,344,11.52
2022-10-13,"San Jose, CA","Huntsville, AL",3342.31,342,32.98
2020-08-03,"Portland, OR","Rockford, IL",1654.26,466,17.08
2020-09-24,"Newark, NJ","York, PA",4196.33,677,37.5
2020-12-28,"Jacksonville, FL","Lansing, MI",4968.86,801,43.62
2023-09-19,"Las Vegas, NV","Minneapolis, MN",4390.89,752,39.82
2022-12-28,"Raleigh, NC","New Orleans, LA",162.94,227,1.79
2022-03-05,"Gilbert, AZ","Greensboro, NC",3480.33,813,32.37
2021-06-12,"Boise, ID","El Paso, TX",4845.04,485,53.75
2021-03-08,"Ogden, UT","San Francisco, CA",3525.24,259,37.37
2022-06-15,"Indio, CA","Appleton, WI",2911.14,972,46.65
2023-08-11,"San Juan, PR","Antioch, CA",4220.88,79,63.09
2021-08-02,"Chattanooga, TN","Springfield, MO",3068.12,308,44.2
2023-12-16,"Davenport, IA","Garland, TX",3740.99,957,44.34
2020-08-11,"Charleston, SC","Minneapolis, MN",2814.15,861,25.28
2021-03-30,"Lancaster, PA","Montgomery, AL",3747.42,616,55.19
2023-10-13,"Green Bay, WI","Plano, TX",1835.84,739,17.65
2023-03-11,"Riverside, CA","Antioch, CA",935.81,721,14.02
2023-12-26,"Mission Viejo, CA","Chandler, AZ",2303.7,805,20.6
2020-02-05,"South Bend, IN","Reading, PA",1485.9,862,12.96
2021-07-27,"Milwaukee, WI","Miami, FL",4989.84,595,43.08
2022-08-15,"Kansas City, MO","Savannah, GA",3828.53,554,35.64
2020-08-04,"Round Lake Beach, IL","Bonita Springs, FL",2271.29,137,21.1
2020-11-17,"Virginia Beach, VA","Wilmington, NC",2030.92,723,29.64
2023-09-19,"Lubbock, TX","Anaheim, CA",4866.08,555,40.57
2022-02-14,"Worcester, MA","Las Vegas, NV",2138.34,167,29.0
2020-08-14,"Colorado Springs, CO","Salt Lake City, UT",4987.09,370,64.99
2022-12-22,"Wichita, KS","Asheville, NC",2593.7,784,29.23
2022-02-08,"Jackson, MS","Chicago, IL",3256.73,218,50.45
2022-08-31,"Shreveport, LA","Santa Clarita, CA",3699.62,1000,35.58
2022-12-19,"Santa Rosa, CA","Columbus, OH",468.88,284,7.5
2021-08-30,"Nashua, NH","Davenport, IA",4318.83,533,51.66
2022-12-26,"Lakeland, FL","Dallas, TX",1830.04,289,18.68
2021-05-11,"Salem, OR","Savannah, GA",2958.43,423,29.36
2022-07-23,"Oakland, CA","Henderson, NV",2613.9,179,31.29
2022-07-29,"New Haven, CT","Nashville, TN",760.56,65,6.83
2020-12-28,"Ann Arbor, MI","Cincinnati, OH",1643.18,657,14.94
2023-03-04,"Syracuse, NY","Baltimore, MD",4030.56,724,60.66
2021-12-12,"Ann Arbor, MI","Rochester, NY",1421.23,932,14.23
2024-01-05,"Columbia, SC","Newark, NJ",4892.65,582,62.52
2022-06-06,"Albany, NY","Port St. Lucie, FL",3706.61,573,34.54
2020-11-19,"Lexington, KY","St. Paul, MN",4662.06,529,50.95
2022-08-30,"Philadelphia, PA","Antioch, CA",4005.95,226,33.92
2023-09-09,"Charlotte, NC","Colorado Springs, CO",3588.49,255,50.86
2023-11-09,"Charleston, SC","Detroit, MI",3428.63,108,48.97
2022-07-18,"York, PA","Gilbert, AZ",4205.92,447,60.0
2023-10-27,"Hartford, CT","Chula Vista, CA",3340.08,280,35.01
2023-10-28,"Arlington, TX","Santa Clarita, CA",657.15,275,7.9
2021-04-13,"Indianapolis, IN","Arlington, TX",4867.13,201,67.26
2023-12-08,"Richmond, VA","Irving, TX",2013.29,545,17.98
2020-05-13,"Chattanooga, TN","Modesto, CA",1429.3,429,12.85
2022-03-16,"Palm Bay, FL","Akron, OH",4128.98,106,48.29
2022-10-05,"Albuquerque, NM","Denton, TX",1310.66,371,19.93
2020-01-31,"Columbus, GA","Miami, FL",4216.8,659,42.24
2023-07-19,"Fort Worth, TX","Norfolk, VA",3480.04,251,42.13
2021-08-28,"Stockton, CA","Gulfport, MS",1600.85,586,24.29
2022-01-31,"Montgomery, AL","Canton, OH",742.03,92,7.97
2020-01-10,"Austin, TX","Fort Worth, TX",4326.69,121,59.55
2022-12-30,"San Antonio, TX","Lancaster, PA",1715.25,543,24.51
2023-12-26,"Ogden, UT","Las Vegas, NV",3669.02,75,38.05
2022-11-02,"Nashville, TN","Chattanooga, TN",1746.48,322,17.38
2020-12-09,"Reading, PA","Salt Lake City, UT",4567.07,640,63.42
2023-01-01,"Columbus, GA","San Diego, CA",126.11,468,1.55
2020-02-12,"Springfield, MA","Eugene, OR",4914.48,635,71.89
2020-12-04,"Santa Clarita, CA","Worcester, MA",4892.51,645,44.94
2023-05-24,"Lakeland, FL","Chandler, AZ",4349.15,498,63.77
2023-01-01,"Chula Vista, CA","Chesapeake, VA",1006.39,292,12.28
2020-06-29,"Tampa, FL","Pittsburgh, PA",637.79,173,6.68
2021-02-01,"Stockton, CA","North Las Vegas, NV",3837.22,420,47.52
2023-08-16,"San Juan, PR","Louisville, KY",2894.39,646,45.86
2021-03-25,"Aguadilla, PR","Fort Collins, CO",3770.69,402,37.45
2022-08-14,"Staten Island, NY","Fort Wayne, IN",4853.55,805,56.48
2022-04-04,"Mission Viejo, CA","Madison, WI",392.96,457,4.95
2020-02-11,"Brooklyn, NY","Memphis, TN",2955.93,209,47.35
2020-12-31,"Kissimmee, FL","Las Vegas, NV",4945.84,780,65.99
2022-05-15,"Antioch, CA","St. Paul, MN",100.05,119,0.9
2022-05-23,"Rochester, NY","Washington, DC",4447.38,402,58.43
2022-03-31,"Charlotte, NC","North Las Vegas, NV",424.89,67,4.07
2021-05-05,"Chandler, AZ","Ogden, UT",3140.97,607,34.23
2020-07-22,"Fremont, CA","Long Beach, CA",716.45,322,9.97
2021-02-27,"North Las Vegas, NV","Grand Rapids, MI",2834.24,375,38.69
2021-10-03,"Columbia, SC","Riverside, CA",4537.19,983,73.4
2020-09-19,"Toledo, OH","New York, NY",4447.53,490,49.4
2023-11-20,"Aguadilla, PR","Pittsburgh, PA",3845.22,963,50.35
2021-12-20,"Chattanooga, TN","San Diego, CA",2310.58,581,19.45
2020-02-09,"Mobile, AL","San Diego, CA",4872.31,82,50.11
2021-03-14,"Santa Rosa, CA","Glendale, AZ",3988.45,937,41.69
2022-01-15,"North Las Vegas, NV","Fort Collins, CO",3617.66,887,43.9
2022-11-28,"Greensboro, NC","Rochester, NY",3218.21,577,29.43
2020-06-06,"Davenport, IA","Orlando, FL",4556.73,853,51.79
2021-10-09,"Kissimmee, FL","Irvine, CA",2263.31,99,25.98
2023-02-18,"Fremont, CA","Phoenix, AZ",1733.09,760,28.36
2022-10-12,"Orlando, FL","Salt Lake City, UT",4921.87,697,62.06
2021-09-21,"Fort Worth, TX","Baltimore, MD",4033.09,705,36.32
2023-01-21,"Detroit, MI","Henderson, NV",1261.28,999,18.78
2020-04-29,"Santa Clarita, CA","Aurora, CO",2888.34,736,25.55
2023-08-23,"Chandler, AZ","Aurora, CO",2198.29,506,34.52
2020-09-22,"Charlotte, NC","Port St. Lucie, FL",1782.84,735,17.13
2021-01-22,"Chandler, AZ","Peoria, IL",4063.72,888,55.16
2020-08-17,"Kissimmee, FL","Bremerton, WA",253.2,275,4.19
2021-05-10,"Savannah, GA","Lansing, MI",975.08,169,8.26
2020-10-29,"Santa Ana, CA","Detroit, MI",4721.7,738,59.06
2020-09-13,"St. Louis, MO","Fort Worth, TX",2221.86,157,34.04
2021-06-18,"San Francisco, CA","South Bend, IN",2158.41,381,20.08
2023-04-04,"Louisville, KY","Scranton, PA",753.7,374,6.92
2023-09-13,"Kennewick, WA","Arlington, TX",1946.36,438,16.28
2021-10-02,"Eugene, OR","Bremerton, WA",4406.77,556,57.37
2023-07-02,"Scranton, PA","Irvine, CA",960.96,916,10.16
2023-08-26,"Fremont, CA","Orlando, FL",1482.7,190,19.44
2022-04-02,"Worcester, MA","Charleston, SC",2929.9,315,39.68
2020-07-07,"Columbia, SC","Chesapeake, VA",2577.08,388,23.19
2020-12-26,"Chesapeake, VA","Norfolk, VA",2342.43,444,22.64
2021-07-01,"Riverside, CA","Cleveland, OH",1576.19,680,21.16
2022-10-18,"Milwaukee, WI","Ann Arbor, MI",2586.4,566,40.26
2023-01-10,"Fort Collins, CO","Salem, OR",1619.36,692,15.67
2023-03-31,"Bremerton, WA","Fort Worth, TX",3956.15,446,41.97
2023-04-10,"Laredo, TX","Enterprise, NV",2845.91,374,25.59
2021-11-14,"El Paso, TX","Green Bay, WI",2561.6,358,39.54
2022-09-08,"Memphis, TN","St. Petersburg, FL",2416.41,530,29.68
2020-11-09,"Ann Arbor, MI","Springfield, MO",1276.87,102,10.78
2023-04-13,"Arlington, TX","Mission Viejo, CA",1052.44,880,15.84
2022-11-12,"Aurora, CO","Las Vegas, NV",4054.64,69,65.24
2023-04-19,"New Orleans, LA","Los Angeles, CA",970.84,908,12.36
2024-01-05,"Corpus Christi, TX","Davenport, IA",3446.17,600,33.95
2020-05-02,"Fremont, CA","Madison, WI",1305.62,478,16.07
2020-01-16,"Mission Viejo, CA","Gilbert, AZ",3025.16,931,25.49
2023-12-10,"San Jose, CA","Myrtle Beach, SC",139.59,336,1.52
2023-04-05,"Gulfport, MS","Wilmington, NC",1354.82,620,13.02
2022-11-24,"Tulsa, OK","Provo, UT",577.52,266,5.96
2023-02-13,"Omaha, NE","Winter Haven, FL",3205.5,985,30.07
2022-11-20,"Oxnard, CA","Charlotte, NC",358.63,105,5.87
2023-09-11,"Phoenix, AZ","North Las Vegas, NV",3151.18,746,40.46
2023-01-10,"Columbia, SC","Akron, OH",4672.08,974,52.27
2021-03-01,"Portland, OR","Bonita Springs, FL",2035.19,756,26.71
2023-06-05,"Omaha, NE","Jackson, MS",4348.18,509,51.93
2021-11-02,"Round Lake Beach, IL","Irving, TX",4580.11,290,54.02
2021-08-27,"San Antonio, TX","Philadelphia, PA",2747.95,665,24.08
2023-04-18,"Tucson, AZ","Tulsa, OK",2908.47,951,30.69
2023-07-16,"Akron, OH","Anchorage, AK",2359.62,572,19.75
2020-04-22,"Virginia Beach, VA","South Bend, IN",1772.8,146,17.35
2023-09-04,"Chattanooga, TN","El Paso, TX",239.01,873,3.11
2021-06-29,"Boston, MA","Chula Vista, CA",1014.53,944,14.91
2023-12-05,"Louisville, KY","Knoxville, TN",1289.96,775,20.26
2020-08-14,"Cape Coral, FL","Columbus, OH",3118.56,155,38.85
2021-09-30,"Springfield, MA","Antioch, CA",3707.5,602,40.18
2023-09-17,"Oakland, CA","Detroit, MI",4728.13,694,46.61
2022-07-25,"Detroit, MI","Washington, DC",1593.68,602,13.63
2020-03-31,"Syracuse, NY","Chula Vista, CA",971.82,963,11.39
2023-06-29,"Bronx, NY","Grand Rapids, MI",3455.52,868,35.19
2022-07-02,"Spokane, WA","Houston, TX",4488.53,850,56.42
2021-07-24,"Albany, NY","Greenville, SC",3928.82,50,35.46
2022-12-02,"Fresno, CA","Shreveport, LA",4063.13,268,51.5
2020-07-20,"Port St. Lucie, FL","Augusta, GA",1806.46,136,18.33
2022-03-09,"Rock Hill, SC","Richmond, VA",720.32,662,9.57
2021-05-26,"Pittsburgh, PA","Santa Clarita, CA",1258.04,825,13.5
2020-11-06,"Fremont, CA","Lakeland, FL",1032.38,331,8.84
2022-01-17,"Detroit, MI","Staten Island, NY",1611.79,94,17.27
2020-01-02,"Norfolk, VA","Hialeah, FL",4808.37,281,51.0
2021-11-14,"Oxnard, CA","St. Petersburg, FL",434.39,620,3.72
2021-09-02,"Riverside, CA","Chicago, IL",1328.39,850,17.34
2022-04-30,"Oakland, CA","Augusta, GA",3984.88,423,65.7
2021-09-30,"Rochester, NY","Aurora, CO",4476.45,633,49.18
2021-01-29,"Atlanta, GA","Colorado Springs, CO",2822.97,234,38.92
2021-03-26,"Fayetteville, NC","Los Angeles, CA",895.9,255,9.77
2021-09-11,"Springfield, MO","Eugene, OR",4334.75,806,40.93
2021-05-02,"Washington, DC","Glendale, AZ",589.09,306,8.59
