date,from_city,to_city,distance_km,load_kg,delivery_time_hr
2023-12-26,"Aurora, CO","Kansas City, MO",2142.75,524,24.72
2020-12-21,"Cincinnati, OH","Dallas, TX",2751.08,669,32.64
2022-07-06,"Salt Lake City, UT","Detroit, MI",3977.27,864,58.86
2023-08-11,"Jacksonville, FL","Toledo, OH",638.46,761,8.81
2022-06-26,"Queens, NY","Rochester, NY",1868.64,72,20.27
2022-08-13,"Salt Lake City, UT","Lexington, KY",1680.02,881,23.39
2022-06-04,"Trenton, NJ","Ann Arbor, MI",1172.73,811,9.88
2021-05-30,"Nashua, NH","Provo, UT",217.18,255,2.69
2020-03-21,"Cape Coral, FL","Allentown, PA",4738.74,940,44.53
2024-01-27,"Bridgeport, CT","Tallahassee, FL",872.48,234,7.64
2021-07-13,"Santa Clarita, CA","Lexington, KY",1986.43,146,21.43
2022-11-18,"North Las Vegas, NV","Atlanta, GA",3627.8,680,30.44
2023-07-25,"Albany, NY","Denver, CO",4010.88,219,53.73
2022-07-06,"Knoxville, TN","Richmond, VA",1220.37,217,17.74
2020-10-29,"Portland, OR","Albany, NY",603.34,234,10.05
2023-11-25,"San Jose, CA","Trenton, NJ",2420.46,222,20.71
2020-06-24,"Fayetteville, AR","Springfield, MA",356.72,818,4.48
2022-10-09,"Indianapolis, IN","Oakland, CA",2997.3,346,35.64
2022-01-03,"Charlotte, NC","Bonita Springs, FL",4930.38,173,45.55
2023-01-17,"Savannah, GA","Harrisburg, PA",1867.42,466,17.89
2022-08-17,"Colorado Springs, CO","Anaheim, CA",2033.09,63,25.72
2020-03-08,"Harrisburg, PA","Lubbock, TX",1565.28,346,25.59
2020-10-12,"Bakersfield, CA","Milwaukee, WI",669.79,248,10.16
2022-10-24,"Virginia Beach, VA","Oxnard, CA",1934.53,240,20.04
2020-01-07,"Flint, MI","Rockford, IL",3920.78,515,56.55
2021-06-01,"Atlanta, GA","Des Moines, IA",3919.6,435,51.36
2023-10-27,"Denver, CO","Jersey City, NJ",1834.41,374,21.93
2023-11-08,"Fargo, ND","Norfolk, VA",4035.34,537,34.39
2020-06-25,"Asheville, NC","Spokane, WA",2280.16,994,19.08
2023-12-06,"Los Angeles, CA","New Haven, CT",3583.09,354,32.08
2021-09-10,"Trenton, NJ","Reading, PA",3713.57,248,42.73
2022-10-21,"Mobile, AL","Lafayette, LA",710.34,454,6.99
2023-04-12,"Virginia Beach, VA","Worcester, MA",4875.73,933,46.6
2021-02-21,"Plano, TX","Long Beach, CA",3142.86,543,38.69
2020-01-20,"Antioch, CA","Montgomery, AL",579.83,658,8.9
2022-02-28,"Rochester, NY","Boston, MA",3070.63,786,46.81
2021-03-13,"Minneapolis, MN","Tucson, AZ",3059.04,156,34.32
2023-04-02,"McAllen, TX","Brooklyn, NY",2001.07,971,17.71
2021-10-07,"Mesa, AZ","Spokane, WA",2809.5,408,46.52
2021-05-27,"Providence, RI","Arlington, VA",1497.48,757,19.52
2020-05-08,"New York, NY","Atlanta, GA",1245.29,766,10.6
2023-04-24,"Spokane, WA","McAllen, TX",2788.4,478,25.51
2021-10-13,"Tucson, AZ","Palm Bay, FL",4709.68,172,40.07
2020-08-16,"Los Angeles, CA","Nashua, NH",4881.22,90,46.35
2023-11-14,"McAllen, TX","Bronx, NY",311.05,191,3.21
2020-10-01,"Syracuse, NY","Glendale, AZ",3463.59,413,35.08
2021-06-06,"Reno, NV","Boston, MA",1870.23,93,16.67
2023-07-27,"Huntsville, AL","Ann Arbor, MI",751.26,210,8.36
2022-05-23,"Lubbock, TX","Santa Clarita, CA",2529.32,58,36.12
2021-03-31,"Plano, TX","El Paso, TX",2532.81,806,41.82
2020-02-18,"Chesapeake, VA","Queens, NY",2904.8,531,32.15
2022-11-02,"San Jose, CA","Asheville, NC",4672.89,121,77.37
2021-12-27,"Wilmington, NC","Toledo, OH",2874.68,254,24.15
2022-02-15,"Enterprise, NV","Salt Lake City, UT",1030.17,637,12.45
2020-03-02,"Arlington, TX","Dayton, OH",4152.18,210,43.93
2020-11-12,"San Diego, CA","Richmond, VA",4278.29,749,69.4
